model,source_folder,file_gib,estimated_vram_gib,peak_vram_gib,Research,Coding,Data,Writer,PPT,Critic,instruction_score,tool_score,overall_score,median_tok_s,median_latency_s,status
Ministral-3-8B-Reasoning-2512-Q6_K,8GB,6.494,,6.9931640625,86.875,100.0,100.0,76.5625,90.1875,96.65,89.27272727272727,100.0,91.71249999999999,95.6365849016792,1.550674899990554,READY
Qwen3-30B-A3B-Q5_K_M,24GB,20.234,,17.068359375,98.75,100.0,92.0,76.0625,94.5,88.5,90.0,100.0,91.63541666666667,74.42642837015367,8.074462400007178,READY
Devstral-Small-2505-Q4_K_M,16GB,13.349,,14.1162109375,97.5,100.0,100.0,85.625,77.25,86.5,90.45454545454545,0.0,91.14583333333333,51.301146993986144,2.729971199994907,READY
Qwen_Qwen3-14B-Q4_K_M,8-10GB,8.384,,9.0068359375,85.0,100.0,92.0,71.875,96.125,97.1,86.36363636363636,100.0,90.35000000000001,77.59392379330421,7.649727399999392,READY
Qwen3-8B-Q6_K,8GB,6.264,,6.7197265625,97.5,85.0,92.0,82.9375,85.5625,99.0,87.9090909090909,100.0,90.33333333333333,100.11683888563822,5.2876066000026185,READY
phi-4-Q6_K,12-14GB,11.204,,11.9892578125,85.0,100.0,100.0,81.5625,81.5625,93.15,80.45454545454545,0.0,90.21249999999999,60.16185781079562,4.244229900010396,READY
Ministral-3-14B-Instruct-2512-Q5_K_M,12GB,8.96,,9.5517578125,88.75,100.0,88.0,81.5,81.5625,99.0,88.36363636363636,100.0,89.80208333333333,72.8842646223618,2.2047361000004457,READY
Qwen_Qwen3-14B-Q5_K_L,10-12GB,10.24,,10.5009765625,96.25,100.0,78.0,69.8125,93.625,89.0,86.54545454545455,100.0,87.78125,68.46747417355154,8.21993300000031,READY
internlm3-8b-instruct-Q6_K,8GB,6.73,,6.8759765625,85.0,100.0,80.0,76.5625,96.1875,87.1,85.9090909090909,0.0,87.47500000000001,89.93237855975104,2.8476921999972546,READY
phi-4-Q5_K_M,10-12GB,9.876,,10.7275390625,85.0,85.0,100.0,70.6875,84.375,97.1,79.9090909090909,0.0,87.02708333333334,69.18175184172559,3.920368699997198,READY
internlm3-8b-instruct-Q4_K_M,6GB,4.991,,5.2646484375,95.0,93.33333333333333,80.0,80.8125,85.5,87.0,88.36363636363636,0.0,86.94097222222221,114.42437686281541,2.055655399992247,READY
Qwen3-VL-8B-Instruct-Q6_K,8GB,6.264,,6.7431640625,83.75,100.0,80.0,81.5625,76.75,99.0,79.45454545454545,100.0,86.84375,96.05225857585481,1.1198178000049666,READY
Qwen2.5-14B-Instruct-Q5_K_M,12GB,9.787,,10.4248046875,83.75,85.0,100.0,83.6875,82.3125,86.1,91.81818181818181,100.0,86.80833333333334,66.61254827595069,2.43963170000643,READY
Qwen_Qwen3-14B-Q6_K_L,12-14GB,11.64,,11.8994140625,85.0,100.0,80.0,75.75,91.125,88.0,84.27272727272727,100.0,86.64583333333333,59.25102865883263,8.853636700005154,READY
Qwen3-30B-A3B-Q4_K_M,20GB,17.282,,17.2236328125,66.25,100.0,92.0,71.0,93.625,95.5,82.45454545454545,100.0,86.39583333333333,148.733639299986,3.696015699999407,READY
Qwen3-8B-Q4_K_M,6GB,4.682,,5.2900390625,100.0,100.0,92.0,75.0625,73.5,77.1,77.72727272727273,100.0,86.27708333333334,127.12777801015746,4.1454392000014195,READY
