model,file_gib,peak_vram_gib,Research,Coding,Data,Writer,PPT,Critic,overall,complete,attempted,resolved,done,finalized,errors,invalid_artifacts,tool_success_pct,median_task_latency_s
Qwen3-30B-A3B-Q5_K_M,20.233523845672607,18.052734375,92.72500000000001,83.33333333333333,63.1,87.70666666666666,79.58666666666666,90.94833333333334,82.89999999999999,YES,18,18,17,17,1,0,90.0990099009901,50.56658504996449
Qwen3-4B-Q6_K,3.0791952311992645,5.734375,96.625,83.33333333333333,38.1,86.0,56.61333333333334,86.40666666666668,74.51305555555555,YES,18,18,16,16,2,0,92.5233644859813,30.608643000014126
Qwen2.5-14B-Instruct-Q5_K_M,9.787151455879211,12.73828125,93.18333333333332,37.5,64.3,85.70833333333333,71.52,89.07333333333334,73.5475,YES,18,18,18,18,0,0,86.66666666666667,21.44650239996554
Ministral-3-8B-Reasoning-2512-Q6_K,6.493992269039154,8.595703125,88.41666666666667,66.66666666666667,53.1,90.665,49.75999999999999,83.46833333333333,72.01277777777779,YES,18,18,16,16,2,0,88.33333333333333,21.767829999997048
Qwen3-8B-Q6_K,6.2639820873737335,8.46875,96.625,48.166666666666664,75.0,88.83166666666666,29.200000000000003,87.79166666666667,70.93583333333333,YES,18,18,16,16,2,0,79.27927927927928,43.0377720999968
Qwen_Qwen3-14B-Q4_K_M,8.383536368608475,10.9453125,98.83333333333333,66.66666666666667,50.0,90.665,28.826666666666668,83.625,69.76944444444445,YES,18,18,16,16,2,0,80.17241379310344,48.09411675002775
Ministral-3-3B-Instruct-2512-Q4_K_M,1.9990822672843933,4.033203125,88.05833333333332,50.46666666666667,8.333333333333334,82.915,69.67999999999999,84.19833333333334,63.94194444444444,YES,18,18,16,16,2,0,77.37226277372262,8.775578100015991
Devstral-Small-2505-Q4_K_M,13.349493026733398,16.060546875,94.35000000000001,83.33333333333333,0.0,55.70666666666667,16.106666666666666,88.61500000000001,56.35194444444445,YES,18,18,12,12,6,0,72.0,29.12676754995482
Qwen2.5-Coder-14B-Instruct-Q5_K_M,9.787151545286179,12.736328125,72.22500000000001,33.333333333333336,26.666666666666668,26.5,75.38666666666667,78.99833333333333,52.185,YES,18,18,15,15,3,0,83.59375,11.026463000001968
phi-4-Q6_K,11.204044759273529,14.3359375,90.60833333333335,48.166666666666664,0.0,89.95666666666666,0.0,58.291666666666664,47.83722222222223,YES,18,18,11,11,7,0,59.85401459854015,104.43768945000193
granite-4.0-h-micro-Q4_K_M,1.8091541826725006,2.650390625,40.949999999999996,16.666666666666668,0.0,50.625,12.133333333333333,40.385,26.793333333333333,YES,18,18,10,10,8,0,67.3076923076923,11.603353899990907
DeepSeek-R1-0528-Qwen3-8B-Q4_K_M,4.6824875473976135,6.9892578125,0.0,48.166666666666664,0.0,53.708333333333336,0.0,0.0,16.979166666666668,YES,18,18,5,5,13,0,80.89887640449439,145.3217534999858
granite-3.3-8b-instruct-Q4_K_M,4.6034095287323,7.48828125,0.0,75.93333333333334,0.0,17.916666666666668,0.0,0.0,15.641666666666667,YES,18,18,4,4,14,0,38.23529411764706,74.60206085001118
google_gemma-3-4b-it-Q5_K_M,2.635235220193863,3.814453125,0.0,48.166666666666664,0.0,0.0,0.0,0.0,8.027777777777777,YES,18,18,3,3,15,0,52.17391304347826,8.891388949967222
internlm3-8b-instruct-Q4_K_M,4.990607529878616,5.833984375,0.0,48.166666666666664,0.0,0.0,0.0,0.0,8.027777777777777,YES,18,18,3,3,15,0,100.0,76.40183880001132
